,Hips_Xposition,Hips_Yposition,Hips_Zposition,Hips_Zrotation,Hips_Xrotation,Hips_Yrotation,LeftUpLeg_Zrotation,LeftUpLeg_Xrotation,LeftUpLeg_Yrotation,LeftLeg_Zrotation,LeftLeg_Xrotation,LeftLeg_Yrotation,LeftFoot_Zrotation,LeftFoot_Xrotation,LeftFoot_Yrotation,LeftToeBase_Zrotation,LeftToeBase_Xrotation,LeftToeBase_Yrotation,RightUpLeg_Zrotation,RightUpLeg_Xrotation,RightUpLeg_Yrotation,RightLeg_Zrotation,RightLeg_Xrotation,RightLeg_Yrotation,RightFoot_Zrotation,RightFoot_Xrotation,RightFoot_Yrotation,RightToeBase_Zrotation,RightToeBase_Xrotation,RightToeBase_Yrotation,Spine_Zrotation,Spine_Xrotation,Spine_Yrotation,Spine1_Zrotation,Spine1_Xrotation,Spine1_Yrotation,Neck_Zrotation,Neck_Xrotation,Neck_Yrotation,Head_Zrotation,Head_Xrotation,Head_Yrotation,LeftShoulder_Zrotation,LeftShoulder_Xrotation,LeftShoulder_Yrotation,LeftArm_Zrotation,LeftArm_Xrotation,LeftArm_Yrotation,LeftForeArm_Zrotation,LeftForeArm_Xrotation,LeftForeArm_Yrotation,LeftHand_Zrotation,LeftHand_Xrotation,LeftHand_Yrotation,LeftHandThumb_Zrotation,LeftHandThumb_Xrotation,LeftHandThumb_Yrotation,L_Wrist_End_Zrotation,L_Wrist_End_Xrotation,L_Wrist_End_Yrotation,RightShoulder_Zrotation,RightShoulder_Xrotation,RightShoulder_Yrotation,RightArm_Zrotation,RightArm_Xrotation,RightArm_Yrotation,RightForeArm_Zrotation,RightForeArm_Xrotation,RightForeArm_Yrotation,RightHand_Zrotation,RightHand_Xrotation,RightHand_Yrotation,RightHandThumb_Zrotation,RightHandThumb_Xrotation,RightHandThumb_Yrotation,R_Wrist_End_Zrotation,R_Wrist_End_Xrotation,R_Wrist_End_Yrotation
00:00:00,3.434,35.2635,-9.3883,-3.014323,0.661831,-13.441646,5.327892,2.042107,3.897265,-0.0,15.000294,1e-06,-6.966449,-11.753856,17.968092,0.0,-10.428398,0.0,-8.390443,-26.130922,-3.296048,2e-06,43.951099,-1e-06,11.041185,0.374645,-7.595216,-0.0,-9.863701,2e-06,-5.544521,-17.858358,-2.708288,14.124484,21.398802,-5.486714,4.993007,23.563565,6.758243,-19.795087,-33.361065,12.621995,22.47963,19.533291,-8.345512,-87.941923,24.580483,7.433794,-0.000144,-0.000133,-68.656898,-0.513078,47.702584,24.35738,-1e-06,-1e-06,-0.0,-3e-06,-0.0,-2e-06,-9.749808,6.282817,-4.425992,52.139427,17.717362,17.109199,0.000362,-0.000176,127.310901,12.284696,40.075537,-44.10736,0.0,0.0,-0.0,0.0,1e-06,0.0
00:00:00.038462,3.3153,35.348,-8.9138,-3.837506,0.68875,-14.830921,5.929273,4.813608,5.445067,-0.0,11.9229,0.0,-6.775607,-10.893533,18.003511,0.0,-10.556101,-0.0,-4.597391,-23.272217,0.062083,-1e-06,34.609501,0.0,16.371038,-0.515043,-4.341279,-1e-06,-10.264903,2e-06,-4.729433,-19.316699,-2.881101,13.896606,22.42694,-6.350636,3.106095,23.279774,10.286457,-18.362385,-31.735992,11.81078,20.012487,19.171748,-5.863508,-88.325295,24.281809,8.446759,-0.000106,-0.000131,-57.716997,9.586185,33.499667,12.656329,1e-06,1e-06,-0.0,2e-06,0.0,0.0,-9.534549,5.914507,-2.795576,58.959231,22.816095,14.566898,0.000292,-0.000239,111.284395,-3.362685,35.124822,-31.280552,0.0,-1e-06,-1e-06,0.0,-2e-06,-1e-06
00:00:00.076924,3.1759,35.252399,-8.2655,-4.168447,-0.590311,-15.42471,5.681819,7.33887,5.207456,-0.0,12.082101,0.0,-6.302304,-11.934528,18.872528,-0.0,-10.402998,-1e-06,-2.771265,-17.496725,3.770331,-2e-06,24.925403,-0.0,22.103413,4.271566,-1.102948,0.0,-9.2703,-0.0,-2.220443,-19.307789,-0.651846,11.985904,21.219064,-5.222158,-1.244686,24.530085,15.395197,-16.090823,-30.65574,5.537609,12.975493,17.827829,-1.86819,-81.660867,16.140925,7.633711,-6e-05,-0.000225,-53.465997,14.937673,29.094212,7.059415,0.0,0.0,-1e-06,2e-06,-1e-06,1e-06,-9.023022,6.572094,0.339045,73.270738,15.527129,3.370838,0.000221,-0.000168,94.419695,-12.107347,25.82819,-24.109586,1e-06,-3e-06,1e-06,1e-06,-1e-06,1e-06
00:00:00.115386,3.131206,34.894249,-7.691261,-3.214943,-1.963542,-15.078949,4.371733,6.487871,4.071325,0.0,18.099902,-0.0,-5.897981,-15.546796,19.501952,0.0,-10.172364,2e-06,-3.012054,-12.746029,5.340901,1e-06,20.223956,1e-06,10.811358,1.002618,-3.125544,-0.0,-8.476731,1e-06,2.385247,-18.400487,4.990366,6.302196,18.346446,-1.81837,-4.299688,27.90106,16.781857,-12.89093,-32.671332,-2.411117,5.958453,15.228253,0.503479,-73.814578,-2.400593,3.832715,-0.000113,-0.000138,-55.803144,25.309618,20.790054,5.044537,-3e-06,0.0,-0.0,-4e-06,-3e-06,-0.0,-7.209895,9.848853,3.437532,83.175216,-2.178512,-7.08586,0.000181,-0.00023,80.464498,-21.886228,23.96928,-20.979662,0.0,3e-06,-2e-06,-1e-06,2e-06,-1e-06
00:00:00.153848,3.131243,34.664089,-7.477763,-3.622641,-2.799929,-14.435688,4.930067,4.306551,4.157293,-0.0,25.020077,-0.0,-6.235326,-17.850455,18.502603,0.0,-10.253106,-0.0,-1.571016,-12.655487,10.816497,0.0,23.227549,-0.0,9.967643,-2.353818,-9.331266,-0.0,-6.228982,1e-06,5.702852,-18.59407,9.962773,4.692803,19.299425,1.398448,-4.707436,29.014131,14.614595,-12.918679,-33.130055,-8.191563,2.710259,10.878659,-1.42768,-74.499544,-16.429405,-2.136676,-0.000106,-0.000134,-58.435164,35.410327,7.429046,4.048551,1e-06,-0.0,1e-06,-0.0,1e-06,0.0,-5.940992,12.121387,3.547633,81.673626,-6.003413,-15.852644,0.000181,-0.000129,79.561179,-29.956202,-0.667806,-22.664595,3e-06,0.0,0.0,0.0,-0.0,0.0
00:00:00.192310,3.494777,34.62711,-7.322206,-2.133781,-4.422953,-12.048676,3.269653,5.945229,5.667238,-0.0,23.580217,0.0,-5.105989,-16.909919,15.396107,-0.0,-10.199571,1e-06,-4.403446,-13.803934,7.542519,-1e-06,28.712988,-0.0,10.429474,-2.967702,-8.181773,-0.0,-6.930099,-1e-06,3.844213,-19.675675,8.538922,5.100186,23.271107,0.718363,-0.864725,25.344803,8.617101,-15.391905,-30.482393,-2.361588,8.638344,9.997216,-7.542878,-77.865823,-14.516893,0.599351,-0.000128,-0.000136,-64.024766,38.331739,10.580784,3.094985,1e-06,3e-06,-0.0,0.0,1e-06,3e-06,-7.397435,13.194827,-3.192481,75.646435,6.867468,-11.202245,0.000204,-0.000267,87.984762,-25.22066,15.966421,-19.4923,1e-06,-1e-06,-2e-06,2e-06,-1e-06,2e-06
00:00:00.230772,3.835666,34.758038,-7.435145,-0.830931,-4.441596,-8.199038,2.117186,7.443871,4.626663,-0.0,18.22343,-0.0,-5.037426,-14.74979,12.81687,-0.0,-10.792963,-1e-06,-7.289494,-16.601113,2.865249,-1e-06,34.073375,-0.0,11.276925,0.080148,-7.347656,-1e-06,-10.262606,-1e-06,-0.422955,-20.385384,2.921203,6.717985,25.330644,-2.835195,2.783335,23.519265,5.069136,-17.736087,-31.987712,3.694734,13.634461,12.940661,-12.896951,-77.088773,-8.508769,5.396827,-0.000141,-0.000232,-69.826486,36.189228,22.003193,0.108233,0.0,-1e-06,-1e-06,0.0,1e-06,1e-06,-6.938423,11.934787,-7.099045,64.902903,12.797572,-1.039884,0.000225,-0.000161,93.360674,-25.30235,13.522999,-19.364515,0.0,1e-06,-1e-06,0.0,-1e-06,-1e-06
00:00:00.269234,4.013319,34.889229,-7.645655,-0.341846,-3.918616,-5.351671,1.560505,7.137127,0.386462,-0.0,15.95454,1e-06,-5.055028,-13.400881,14.229808,-0.0,-10.891361,1e-06,-8.420304,-20.927903,2.319075,1e-06,40.516928,0.0,14.245738,4.830016,-8.756384,0.0,-13.716535,-1e-06,-3.627892,-19.759918,-2.729358,6.937491,25.710905,-7.178426,4.666544,23.931098,5.784561,-17.824499,-35.341608,7.205585,16.999736,14.257328,-14.189079,-78.085687,-3.501715,10.314123,-0.000138,-0.000233,-69.083907,36.141338,19.89128,0.309337,-2e-06,-0.0,2e-06,-0.0,-0.0,2e-06,-5.611519,7.911791,-5.911398,56.954574,13.322774,7.740729,0.000227,-0.000162,93.700264,-23.519866,11.428259,-20.993211,-1e-06,4e-06,-1e-06,-0.0,2e-06,-2e-06
00:00:00.307696,4.063803,34.945805,-7.80302,-0.283946,-3.616747,-6.495197,1.157035,7.35937,0.034616,-0.0,14.592802,0.0,-5.073228,-12.743726,15.685558,0.0,-10.792428,0.0,-7.110582,-25.403169,5.860941,-1e-06,45.932541,-1e-06,14.675645,8.276599,-10.444357,-0.0,-11.623812,0.0,-4.344683,-19.110458,-4.614073,6.554712,26.190608,-8.975215,3.588019,23.932689,9.226349,-17.208851,-36.611074,8.33755,17.862985,15.837843,-12.868619,-78.949248,-4.338372,11.918508,-0.000119,-0.000228,-66.637559,33.869634,9.723891,1.28011,-1e-06,0.0,-0.0,-1e-06,0.0,-2e-06,-6.350339,4.329454,-2.264688,58.104358,11.045698,10.948444,0.000219,-0.000152,92.644228,-20.485382,15.192272,-23.071107,-0.0,2e-06,2e-06,1e-06,3e-06,2e-06
00:00:00.346158,4.116174,34.903782,-7.809942,0.772888,-2.917938,-10.796022,-0.662655,8.41291,2.910741,-0.0,11.62416,-1e-06,-5.021787,-12.081026,17.189339,0.0,-10.585976,1e-06,-5.353032,-29.867639,11.340389,1e-06,50.066086,-0.0,15.884397,9.454399,-7.829103,-0.0,-10.070188,-1e-06,-1.422497,-19.240551,-1.323209,2.62727,25.860177,-7.59135,1.171548,23.256719,12.848037,-15.656682,-35.709872,6.691702,14.471043,16.627372,-8.407656,-76.357874,-12.712938,11.110571,-0.000146,-0.000133,-68.846449,37.797898,-0.754437,4.172344,-0.0,-2e-06,0.0,0.0,-0.0,2e-06,-7.972654,3.569916,1.748005,64.910436,7.572354,8.853128,0.000217,-0.000117,91.791609,-22.326999,16.691862,-21.376545,0.0,-4e-06,-0.0,1e-06,-2e-06,3e-06
00:00:00.384620,4.169751,34.769421,-7.67714,2.825258,-1.120889,-15.505662,-3.138956,8.27712,6.782231,0.0,8.550161,0.0,-5.994304,-11.676551,17.420153,0.0,-11.332514,-0.0,-4.542881,-34.215915,15.201059,-0.0,52.858393,-0.0,17.48183,8.86132,-0.405902,-1e-06,-10.553018,1e-06,3.380359,-18.921477,5.086133,-3.211712,22.5246,-4.084925,-1.604843,24.156106,15.475122,-13.038867,-34.983071,2.239029,7.925484,15.922238,-2.448676,-73.824755,-23.980514,4.856959,-0.000168,-0.000229,-76.175228,46.521347,-11.021086,8.732021,-3e-06,1e-06,1e-06,-2e-06,1e-06,0.0,-9.602757,5.300507,6.030584,72.425571,4.789478,1.130855,0.000203,-0.000276,88.256747,-32.04079,9.496751,-12.144178,-2e-06,0.0,-2e-06,-3e-06,-1e-06,-1e-06
00:00:00.423082,4.06771,34.622684,-7.392329,4.529241,0.118674,-16.211338,-4.30197,7.608572,7.105723,0.0,7.791001,-1e-06,-7.957213,-12.02105,16.417217,1e-06,-12.286575,-0.0,-6.097651,-35.068626,13.355944,2e-06,54.388079,1e-06,18.186582,3.923006,3.628515,-1e-06,-10.973112,0.0,6.634993,-18.228183,10.735965,-7.573548,19.309566,-0.551684,-3.587061,26.400027,16.551604,-9.660628,-34.819748,-4.555077,3.901844,11.737303,-0.323442,-75.438661,-27.122743,-6.056091,-0.000179,-0.000231,-82.665042,50.366501,-7.454309,7.863871,0.0,0.0,1e-06,-0.0,-1e-06,1e-06,-11.457706,7.970987,7.02786,79.284843,7.136569,-5.179401,0.000151,-0.000229,72.202879,-36.075242,4.475767,-8.192606,0.0,2e-06,0.0,1e-06,-0.0,-1e-06
00:00:00.461544,3.853575,34.461536,-7.040459,5.950432,-0.430654,-11.850842,-4.866721,7.327733,3.467876,-0.0,10.018257,-0.0,-8.23567,-13.24467,15.68291,-1e-06,-12.164502,1e-06,-10.172263,-31.07149,6.864503,-0.0,54.380829,-0.0,15.463734,-1.084096,5.576555,-2e-06,-11.443327,0.0,7.41341,-16.334131,13.636372,-10.961355,17.483397,1.482367,-2.476386,27.49416,12.864077,-7.484173,-33.504093,-8.402611,3.663229,6.342529,-3.403594,-72.844787,-19.262914,-13.168694,-0.000193,-0.000237,-85.588841,49.015309,0.335732,2.638106,1e-06,-0.0,1e-06,-1e-06,-1e-06,2e-06,-10.48477,9.324303,3.009583,84.169972,15.579428,-7.126519,7e-05,-0.000133,44.575867,-15.202078,-7.042038,-16.453407,-2e-06,0.0,-1e-06,-0.0,0.0,-0.0
